Ticker,LastPrice,Vol,RecordedDate
LTC,377.2,295199.57,05-12-2025 17:43:10
LINK,43.28,65405.06,05-12-2025 05:26:10
LTC,183.66,381739.11,07-12-2025 22:11:10
XLM,360.68,95452.31,03-12-2025 11:41:10
XLM,187.0,209610.77,04-12-2025 13:29:10
LINK,486.0,386714.83,06-12-2025 06:49:10
AVAX,288.39,159042.66,04-12-2025 21:15:10
XLM,176.3,341409.5,04-12-2025 11:12:10
AVAX,461.11,127811.83,09-12-2025 06:04:10
XLM,131.7,394980.03,04-12-2025 22:36:10
LINK,252.43,427035.92,02-12-2025 22:46:10
LTC,359.14,157489.53,08-12-2025 11:27:10
AVAX,62.1,361553.79,03-12-2025 18:10:10
LINK,69.97,86965.8,06-12-2025 13:39:10
LTC,81.68,341018.0,03-12-2025 08:32:10
LTC,444.14,401637.73,05-12-2025 10:00:10
AVAX,12.66,138078.61,06-12-2025 12:43:10
LTC,414.25,383093.87,07-12-2025 17:26:10
LINK,261.41,135719.44,06-12-2025 01:45:10
AVAX,347.86,36385.04,05-12-2025 03:52:10
LTC,377.89,255331.53,08-12-2025 09:08:10
XLM,363.85,429313.13,04-12-2025 05:34:10
DOT,251.45,126099.92,09-12-2025 00:57:10
XLM,208.49,143632.93,02-12-2025 16:45:10
LINK,488.75,70859.91,04-12-2025 10:50:10
DOT,369.56,234524.03,05-12-2025 14:50:10
LINK,489.63,204567.27,04-12-2025 21:49:10
DOT,256.7,96658.39,03-12-2025 06:10:10
LTC,309.01,167235.6,08-12-2025 22:22:10
LINK,239.29,250692.48,03-12-2025 07:13:10
DOT,390.02,460861.61,04-12-2025 15:46:10
DOT,483.79,147139.61,08-12-2025 03:18:10
LTC,277.16,135783.35,05-12-2025 21:26:10
LTC,374.66,381490.78,02-12-2025 21:25:10
AVAX,318.47,287806.1,04-12-2025 15:58:10
XLM,29.68,59490.3,08-12-2025 23:55:10
AVAX,403.45,269469.74,08-12-2025 22:17:10
DOT,251.85,115860.56,04-12-2025 07:15:10
DOT,299.76,356183.22,05-12-2025 21:57:10
LTC,471.45,142797.04,05-12-2025 01:58:10
LINK,364.78,20972.34,05-12-2025 09:12:10
AVAX,247.5,105892.02,02-12-2025 21:05:10
DOT,252.47,305175.61,08-12-2025 09:34:10
XLM,63.25,203822.74,06-12-2025 06:31:10
DOT,189.52,400509.04,07-12-2025 11:05:10
DOT,304.51,345680.3,06-12-2025 14:00:10
LTC,148.67,257084.84,08-12-2025 14:28:10
LINK,353.66,33422.2,07-12-2025 02:49:10
XLM,185.64,201665.69,07-12-2025 07:52:10
LTC,176.56,434406.72,03-12-2025 04:59:10
